,Date,AAL_Open,AAL_Close,AAL_Volume,ALGT_Open,ALGT_Close,ALGT_Volume,ALK_Open,ALK_Close,ALK_Volume,DAL_Open,DAL_Close,DAL_Volume,HA_Open,HA_Close,HA_Volume,LUV_Open,LUV_Close,LUV_Volume,BCS_Open,BCS_Close,BCS_Volume,CS_Open,CS_Close,CS_Volume,DB_Open,DB_Close,DB_Volume,GS_Open,GS_Close,GS_Volume,MS_Open,MS_Close,MS_Volume,WFC_Open,WFC_Close,WFC_Volume,BHC_Open,BHC_Close,BHC_Volume,JNJ_Open,JNJ_Close,JNJ_Volume,MRK_Open,MRK_Close,MRK_Volume,PFE_Open,PFE_Close,PFE_Volume,RHHBY_Open,RHHBY_Close,RHHBY_Volume,UNH_Open,UNH_Close,UNH_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,AMZN_Open,AMZN_Close,AMZN_Volume,FB_Open,FB_Close,FB_Volume,GOOG_Open,GOOG_Close,GOOG_Volume,IBM_Open,IBM_Close,IBM_Volume,MSFT_Open,MSFT_Close,MSFT_Volume,SP500_Open,SP500_Close,SP500_Volume
0,2012-05-18,10.23,10.06,10813400,61.990002,62.310001,167000.0,16.07,16.17,2745800.0,10.43,10.14,18994600.0,5.31,5.28,525400.0,8.37,8.15,15571300.0,10.423964,10.285714,6799000.0,19.443359,19.169922,5598100.0,35.04771,34.370228,3206500.0,97.529999,95.489998,7184700.0,13.83,13.35,37704200.0,31.469999,30.940001,53576100.0,48.82,47.029999,2485300.0,63.869999,63.349998,13781300.0,38.200001,37.82,18690600.0,22.610001,22.57,41817300.0,20.264999,20.16,1122000.0,54.889999,53.990002,6420400.0,19.07,18.942142,732292400,219.410004,213.850006,5231700.0,42.049999,38.23,573576400.0,311.382874,299.078979,11991700.0,198.779999,195.880005,5737100.0,29.790001,29.27,56205300.0,1305.050049,1295.219971,4512470000
1,2012-05-21,10.07,10.71,8290100,62.209999,62.66,150600.0,16.165001,16.379999,1361600.0,10.15,10.58,14203200.0,5.27,5.32,327100.0,8.18,8.34,12843800.0,10.40553,10.672812,4476600.0,19.248047,19.541016,2003100.0,34.780533,35.505726,3511500.0,94.800003,96.510002,5314700.0,13.12,13.19,32394400.0,30.93,31.4,30865500.0,47.049999,47.189999,3329800.0,63.259998,63.470001,8784900.0,37.73,37.599998,9300000.0,22.549999,22.540001,36866800.0,20.280001,20.389999,438000.0,54.09,55.549999,4825900.0,19.089285,20.045713,631106000,214.029999,218.110001,3579800.0,36.529999,34.029999,168192700.0,299.133759,305.908386,6173800.0,195.979996,197.759995,3831700.0,29.1,29.75,38787900.0,1295.72998,1315.98999,3786750000
2,2012-05-22,10.75,10.62,6227400,62.509998,62.349998,125500.0,16.41,16.225,1003600.0,10.68,10.54,12860300.0,5.33,5.23,296000.0,8.34,8.27,10105100.0,10.746544,10.857142,4883500.0,19.6875,19.863281,3199100.0,35.496181,35.410305,3134000.0,96.879997,97.529999,5839700.0,13.31,13.31,35996700.0,31.549999,31.67,30213700.0,47.790001,47.779999,2270200.0,63.400002,63.52,8409300.0,37.66,37.459999,12327600.0,22.48,22.370001,35307900.0,20.459999,20.43,625400.0,55.759998,55.720001,5832200.0,20.341072,19.891787,694870400,218.309998,215.330002,3733100.0,32.610001,31.0,101786600.0,305.574646,299.278229,6126600.0,198.039993,196.820007,3567100.0,29.690001,29.76,39504900.0,1316.089966,1316.630005,4123680000
3,2012-05-23,10.5,11.0,7233000,61.950001,62.990002,166000.0,16.094999,16.115,1626000.0,10.52,10.74,9144000.0,5.21,5.38,348000.0,8.24,8.36,11985600.0,10.682028,10.737328,4385300.0,19.873047,19.765625,2216600.0,35.362595,35.38168,1991200.0,96.75,98.040001,5469700.0,13.06,13.37,47059000.0,31.5,31.74,30587800.0,47.419998,46.650002,1978000.0,63.400002,63.27,11269100.0,37.459999,37.34,11236800.0,22.379999,22.09,52062000.0,20.17,20.075001,600200.0,55.450001,55.360001,4671800.0,19.910715,20.377142,584897600,214.710007,217.279999,4243800.0,31.370001,32.0,73600000.0,299.70163,303.592072,6379900.0,195.529999,196.119995,4100000.0,29.35,29.110001,65171000.0,1316.02002,1318.859985,4108330000
4,2012-05-24,11.19,12.16,17085400,62.669998,64.25,148000.0,16.205,16.92,1953800.0,10.9,11.27,19379500.0,5.37,5.68,567300.0,8.4,8.74,15191400.0,10.820276,10.746544,4550500.0,19.882813,19.658203,1432400.0,35.095421,34.828243,1662700.0,98.32,96.860001,5177300.0,13.46,13.31,26212200.0,31.85,31.809999,23765100.0,46.93,48.040001,1905800.0,62.889999,63.099998,9309400.0,37.400002,37.599998,8651700.0,22.15,22.139999,26165200.0,20.014999,19.855,590600.0,55.029999,56.220001,7192400.0,20.566786,20.190001,496230000,216.979996,215.240005,3141100.0,32.950001,33.029999,50237200.0,303.442627,300.702881,3796600.0,195.990005,196.089996,3569300.0,29.16,29.07,52575000.0,1318.719971,1320.680054,3937670000
5,2012-05-25,12.16,12.3,8341300,64.099998,64.040001,232900.0,16.92,16.98,1156600.0,11.31,11.37,11596300.0,5.66,5.68,614500.0,8.78,8.76,8332700.0,10.580646,10.534562,4618400.0,19.355469,19.306641,1498400.0,34.828243,35.0,1158700.0,96.540001,96.699997,3096000.0,13.22,13.25,16627700.0,31.82,31.860001,18935300.0,48.029999,48.48,1350100.0,62.880001,62.509998,11208500.0,37.57,37.549999,6591600.0,22.15,22.129999,19415200.0,19.85,19.905001,557000.0,56.169998,56.119999,4306500.0,20.163929,20.081785,328507200,214.990005,212.889999,2171400.0,32.900002,31.91,37149800.0,299.377869,294.660553,7190500.0,195.110001,194.300003,2901900.0,29.200001,29.059999,29507200.0,1320.810059,1317.819946,2872660000
6,2012-05-29,12.41,12.62,7147600,64.209999,63.900002,124300.0,17.055,17.065001,1466600.0,11.49,11.8,18680200.0,5.7,5.68,497500.0,8.86,8.94,6269200.0,10.589862,10.654378,8472000.0,19.384766,19.296875,1934200.0,34.914124,34.980915,1527400.0,97.010002,97.860001,4528000.0,13.42,13.64,18585300.0,32.099998,32.25,20188900.0,48.490002,48.400002,896900.0,62.84,62.59,10089700.0,37.689999,37.59,8792400.0,22.18,22.18,30743200.0,19.945,19.924999,948600.0,56.080002,56.150002,5005900.0,20.389286,20.438213,380508800,214.300003,214.75,2693900.0,31.48,28.84,78063400.0,296.792542,296.060303,5230900.0,195.220001,196.460007,3618500.0,29.379999,29.559999,37758800.0,1318.900024,1332.420044,3441640000
7,2012-05-30,12.6,12.69,8895400,63.490002,63.900002,206600.0,16.955,16.809999,1373200.0,11.7,11.75,13803100.0,5.69,5.57,345500.0,8.85,8.87,8917700.0,10.451612,10.29493,4391800.0,19.169922,18.886719,1694500.0,34.332062,34.017174,1347000.0,96.68,94.610001,5713200.0,13.31,13.09,24816700.0,31.9,31.700001,28690800.0,47.73,47.919998,1057700.0,62.34,62.209999,9414700.0,37.400002,37.400002,9668200.0,22.07,22.040001,21540700.0,19.764999,19.584999,1490200.0,56.0,56.169998,4398100.0,20.328571,20.684643,529429600,212.139999,209.229996,4078200.0,28.700001,28.190001,57267900.0,292.981842,293.016693,3827600.0,194.800003,194.529999,3602500.0,29.35,29.34,41585500.0,1331.25,1313.319946,3534290000
8,2012-05-31,12.76,13.22,9914700,64.339996,64.849998,230000.0,16.9,17.15,2012400.0,11.85,12.1,20830500.0,5.61,5.78,833100.0,8.9,9.03,13249800.0,10.221198,10.184332,6500100.0,18.759766,18.681641,1960800.0,34.370228,34.332062,1890400.0,94.900002,95.699997,4833000.0,13.12,13.36,29034200.0,31.77,32.049999,31879900.0,48.169998,48.66,2149000.0,62.360001,62.43,13297100.0,37.610001,37.580002,13443100.0,22.09,21.870001,54902100.0,19.645,19.584999,590600.0,56.209999,55.77,6343300.0,20.740715,20.633215,491674400,209.479996,212.910004,4944000.0,28.549999,29.6,111639200.0,293.260773,289.345459,5958800.0,194.100006,192.899994,9287500.0,29.299999,29.190001,39134000.0,1313.089966,1310.329956,4557620000
9,2012-01-06,13.01,12.64,11998500,64.209999,64.0,138900.0,16.865,16.905001,1491800.0,12.02,11.51,17554100.0,5.69,5.64,463400.0,8.9,8.95,14893800.0,9.8894,9.870968,5861600.0,18.613281,18.535156,2725300.0,32.442749,31.87977,2917600.0,94.07,92.639999,5384700.0,12.97,12.73,31752500.0,31.4,30.16,50519500.0,47.389999,47.0,2316500.0,62.040001,61.779999,12061100.0,37.18,37.18,13371600.0,21.76,21.639999,43558600.0,19.559999,19.469999,542600.0,55.220001,55.040001,5703900.0,20.327143,20.035357,520987600,208.440002,208.220001,3951500.0,28.889999,27.719999,41855500.0,284.827393,284.42392,6138700.0,190.119995,189.080002,5206400.0,28.76,28.450001,56634300.0,1309.869995,1278.040039,4669350000
